OrderID,CustomerID,OrderDate,ProductID,Quantity
1,156,2024-04-17,8,4
2,198,2024-03-24,11,1
3,256,2024-04-14,6,6
4,490,2024-04-04,9,10
5,235,2024-03-07,25,1
6,293,2024-04-20,26,5
7,145,2024-04-18,18,1
8,10,2024-03-29,50,2
9,192,2024-02-02,31,2
10,437,2023-08-04,43,8
11,79,2024-03-27,36,4
12,232,2024-02-13,3,1
13,337,2023-07-16,37,9
14,439,2023-04-29,44,6
15,421,2023-06-29,23,10
16,468,2023-05-27,32,5
17,58,2024-04-09,29,4
18,292,2024-03-04,39,8
19,276,2024-04-19,47,6
20,376,2023-09-29,31,6
21,31,2024-04-10,28,3
22,349,2024-02-21,47,7
23,338,2023-11-08,26,8
24,452,2024-04-20,1,9
25,192,2024-03-14,8,1
26,10,2024-04-12,39,4
27,373,2023-08-24,33,5
28,345,2023-05-17,42,10
29,315,2024-03-29,2,10
30,28,2024-04-15,4,1
31,276,2024-03-03,21,6
32,73,2024-04-17,40,4
33,242,2024-02-07,13,2
34,109,2024-03-30,27,2
35,65,2024-04-12,22,5
36,244,2024-02-17,28,5
37,125,2024-03-28,36,1
38,227,2024-02-21,20,1
39,290,2024-03-30,4,5
40,499,2024-01-05,5,6
41,237,2024-03-26,48,2
42,458,2024-02-17,35,10
43,141,2024-03-29,19,5
44,264,2024-03-13,26,5
45,296,2024-03-31,42,9
46,3,2024-04-20,11,1
47,189,2024-03-05,21,2
48,144,2024-04-11,50,4
49,353,2024-01-17,14,7
50,431,2024-03-12,35,6
51,6,2024-03-27,24,2
52,6,2024-04-01,48,5
53,485,2023-07-06,37,7
54,274,2024-02-24,45,7
55,203,2024-03-06,3,4
56,267,2024-02-18,49,5
57,263,2024-02-22,3,7
58,52,2024-03-29,4,4
59,334,2024-01-15,36,5
60,78,2024-04-02,36,4
61,500,2024-04-11,50,5
62,64,2024-04-14,38,4
63,312,2024-04-21,41,9
64,371,2023-09-02,50,5
65,413,2023-10-18,17,9
66,411,2024-01-16,7,8
67,215,2024-03-10,15,4
68,338,2024-03-19,38,7
69,340,2023-06-12,44,9
70,418,2023-12-18,1,5
71,382,2023-08-09,9,6
72,471,2023-12-14,8,8
73,360,2024-01-25,27,6
74,86,2024-04-19,49,5
75,451,2024-01-26,7,8
76,61,2024-04-05,33,3
77,414,2023-08-07,40,8
78,86,2024-03-27,11,4
79,5,2024-03-29,9,5
80,367,2023-07-24,5,5
81,292,2024-03-04,15,8
82,235,2024-02-18,12,1
83,322,2024-03-18,17,7
84,390,2023-11-29,17,9
85,110,2024-04-21,10,3
86,217,2024-02-03,45,4
87,281,2024-03-07,19,9
88,17,2024-04-17,19,5
89,334,2023-10-18,24,6
90,413,2024-03-12,35,8
91,500,2023-11-27,2,10
92,119,2024-04-03,6,4
93,125,2024-04-08,5,1
94,294,2024-03-14,42,10
95,131,2024-04-11,14,2
96,283,2024-03-15,8,8
97,161,2024-04-20,16,2
98,404,2023-07-20,27,5
99,366,2023-12-11,50,6
100,81,2024-03-31,5,4
101,163,2024-04-22,30,2
102,274,2024-03-19,14,7
103,251,2024-03-30,37,8
104,112,2024-04-19,50,5
105,346,2024-04-14,5,8
106,187,2024-04-09,26,4
107,231,2024-03-16,45,4
108,278,2024-01-27,40,8
109,217,2024-03-24,3,4
110,132,2024-04-24,9,1
111,38,2024-04-09,3,2
112,276,2024-03-14,30,10
113,301,2024-03-14,49,5
114,419,2023-08-20,22,5
115,127,2024-04-23,32,2
116,213,2024-03-03,50,1
117,281,2024-03-11,19,8
118,487,2023-05-20,46,7
119,377,2023-12-09,1,9
120,399,2023-12-29,38,9
121,346,2023-08-04,7,7
122,300,2024-02-08,5,6
123,219,2024-03-27,17,3
124,369,2023-05-17,18,8
125,368,2024-04-20,48,6
126,322,2024-04-23,42,10
127,279,2024-03-29,21,5
128,369,2023-10-28,48,9
129,324,2024-03-05,8,10
130,33,2024-03-28,1,5
131,455,2023-06-04,31,10
132,2,2024-04-09,1,4
133,192,2024-03-24,13,3
134,378,2024-03-01,49,8
135,413,2023-07-20,39,9
136,16,2024-04-20,29,4
137,155,2024-04-25,9,2
138,282,2024-02-19,30,10
139,164,2024-04-11,28,5
140,329,2024-03-01,7,6
141,3,2024-04-14,46,5
142,423,2023-08-24,30,9
143,100,2024-04-14,42,5
144,429,2024-01-02,9,6
145,40,2024-04-08,31,3
146,385,2023-12-16,25,7
147,325,2024-03-30,34,6
148,277,2024-03-19,27,8
149,224,2024-03-24,17,1
150,382,2023-11-18,42,5
151,140,2024-03-31,14,5
152,213,2024-03-06,13,5
153,67,2024-04-10,5,1
154,266,2024-02-25,7,9
155,283,2024-03-23,10,9
156,127,2024-04-19,48,4
157,254,2024-02-26,27,10
158,300,2024-03-01,14,10
159,233,2024-04-22,25,1
160,175,2024-02-09,4,3
161,251,2024-04-23,44,9
162,84,2024-04-05,49,1
163,316,2024-02-26,20,6
164,192,2024-01-30,25,5
165,123,2024-04-01,22,5
166,58,2024-04-22,6,4
167,145,2024-04-15,25,2
168,441,2023-12-14,12,5
169,461,2024-01-20,26,8
170,326,2024-04-11,19,6
171,175,2024-03-27,37,4
172,126,2024-03-30,26,2
