ProductID,ProductName,Price
1,Letter,75.77
2,Town,49.27
3,Just,877.2
4,Upon,9.85
5,Feeling,40.47
6,Where,478.87
7,Participant,87.67
8,Audience,14.86
9,Turn,503.03
10,Use,81.66
11,Those,21.36
12,His,828.01
13,Individual,17.76
14,Major,19.71
15,Word,51.02
16,Try,65.77
17,From,23.06
18,Ahead,560.82
19,Other,32.93
20,Everybody,37.65
21,Soldier,756.48
22,Past,64.83
23,He,49.68
24,Sometimes,546.62
25,Short,17.92
26,High,42.17
27,Something,365.94
28,Serve,8.67
29,Almost,35.97
30,To,946.62
31,Responsibility,40.8
32,Newspaper,49.08
33,Improve,809.89
34,Find,46.15
35,Many,32.94
36,Against,254.57
37,Wide,20.22
38,Including,6.72
39,Everything,897.99
40,Need,70.81
41,Account,48.86
42,Fear,55.23
43,Computer,38.47
44,Well,49.64
45,Painting,865.93
46,Arm,12.96
47,Sometimes,42.79
48,South,756.98
49,Just,53.31
50,Guess,15.37
